archivo,pendiente,error_pendiente,intercepto,error_intercepto,R2
IvsV_2wire_I36-Isd_50nA_Vc_50mV_,0.00017803326913665726,1.5702302354488473e-06,-2.839604305258412e-09,2.903322664880773e-10,0.9938152806782554
IvsV_2wire_I36-Isd_50nA_Vc_50mV_2,0.00017803326913665726,1.5702302354488473e-06,-2.839604305258412e-09,2.903322664880773e-10,0.9938152806782554
IvsV_2wire_variandoVgate_Isd36_10nA_Vsd45_Vgate0p0V,0.00030477105846007805,1.721986383292867e-06,-1.6194076472176227e-08,9.702748950717361e-11,0.9987565274089588
