X,Y
2209.93,276
2214.39,273.857
2218.85,273.357
2223.31,274
2227.77,272.5
2232.22,276.571
2236.67,275.214
2241.11,272.643
2245.56,274
2250,273
2254.43,274.643
2258.87,272.143
2263.3,271.929
2267.73,274.5
2272.15,273.214
2276.58,274.786
2281,275.643
2285.41,272.929
2289.83,273.571
2294.24,273.5
2298.65,272.786
2303.05,272.786
2307.45,279.214
2311.85,275.357
2316.25,272.857
2320.64,273.071
2325.03,275.143
2329.42,273.474
2333.81,272.805
2338.19,274.707
2342.57,273.966
2346.95,275.226
2351.32,273.771
2355.69,271.887
2360.06,273.79
2364.42,275.049
2368.79,274.023
2373.15,272.496
2377.5,274.684
2381.86,276.515
2386.21,275.489
2390.56,273.677
2394.9,276.436
2399.24,275.267
2403.58,274.598
2407.92,277
2412.25,279.902
2416.58,277.376
2420.91,284.564
2425.24,282.752
2429.56,281.869
2433.88,288.485
2438.19,298.745
2442.51,304.076
2446.82,310.335
2451.13,317.951
2455.43,318.925
2459.74,315.256
2464.03,316.373
2468.33,305.489
2472.63,302.249
2476.92,298.722
2481.21,298.553
2485.49,290.955
2489.77,292.072
2494.05,295.403
2498.33,287.091
2502.6,282.493
2506.88,289.895
2511.15,280.297
2515.41,279.128
2519.67,280.888
2523.93,280.147
2528.19,277.549
2532.45,279.666
2536.7,281.068
2540.95,280.899
2545.19,281.087
2549.44,280.775
2553.68,280.963
2557.92,280.365
2562.15,280.839
2566.39,281.17
2570.62,281.001
2574.84,283.046
2579.07,285.948
2583.29,290.85
2587.51,287.753
2591.72,287.441
2595.93,292.2
2600.14,301.525
2604.35,300.717
2608.56,305.055
2612.76,320.991
2616.96,317.615
2621.15,331.044
2625.35,346.086
2629.54,364.601
2633.73,387.385
2637.91,420.159
2642.1,445.406
2646.28,480.507
2650.45,526.463
2654.63,579.243
2658.8,665.779
2662.97,775.588
2667.14,933.915
2671.3,1041.3
2675.46,1112.01
2679.62,1121.45
2683.77,1089.93
2687.93,1038.19
2692.07,1004.15
2696.22,975.785
2700.37,920.299
2704.51,868.706
2708.65,787.844
2712.79,718.097
2716.92,652.422
2721.05,577.96
2725.18,504.697
2729.3,450.187
2733.43,408.568
2737.55,375.388
2738.18,370.463
2742.35,349.729
2746.52,336.353
2750.69,323.405
2754.86,318.243
2759.02,310.723
2763.18,302.632
2767.34,302.113
2771.5,302.308
2775.65,296.003
2779.8,295.412
2783.95,293.321
2788.09,295.73
2792.24,291.283
2796.38,290.477
2800.52,285.315
2804.65,286.724
2808.79,286.205
2812.92,294.4
2817.05,284.523
2821.17,283.504
2825.3,284.556
2829.42,281.394
2833.54,282.589
2837.66,283.784
2841.77,286.264
2845.88,281.602
2849.99,280.226
2854.1,282.778
2858.2,281.115
2862.31,283.239
2866.41,280.719
2870.5,281.7
2874.6,286.038
2878.69,282.59
2882.78,281.713
2886.87,280.123
2890.96,280.246
2895.04,281.155
2899.12,281.136
2903.2,285.117
2907.27,280.026
2911.35,281.221
2915.42,282.13
2919.49,279.396
2923.55,281.805
2927.62,277.5
2931.68,277.267
2935.74,276.176
2939.8,276.514
2943.85,279.137
2947.9,275.903
2951.95,276.098
2956,276.436
2960.05,275.774
2964.09,275.54
2968.13,278.592
2972.17,278.93
2976.2,274.839
2980.24,274.82
2984.27,274.943
2988.29,275.21
2992.32,274.619
2996.34,276.528
