archivo,pendiente,error_pendiente
IvsV_PY_Vg-1V_010925_Vbias10mV,1316.2267906228287,0.4959491285512681
IvsV_PY_Vg-2V_010925_Vbias10mV,1307.1348161861429,6.590369593720501
IvsV_PY_Vg-4V_010925_Vbias10mV,518.7642389922088,45.85715507908463
IvsV_PY_Vg-5V_010925_Vbias10mV,109.95010665816352,25.128111215563358
IvsV_PY_Vg-5V_010925_Vbias10mV_2,125.46840720684162,27.171410781047115
IvsV_PY_Vg1V_010925_Vbias10mV (copy),1306.434285400978,2.9878602805434347
IvsV_PY_Vg2V_010925_Vbias10mV (copy),1060.141454090325,36.27234131244703
IvsV_PY_Vg3V_010925_Vbias10mV (copy),243.52595947027064,35.71530983185022
IvsV_PY_Vg4V_010925_Vbias10mV (copy),26.524177694295748,12.823869302746926
IvsV_PY_Vg5V_010925_Vbias10mV (copy),3.759971105985922,4.769019638949182
