archivo,pendiente,error_pendiente,intercepto,error_intercepto,R2
IvsV_4wire_Graphene_101025_30pts_10E-8A_Vc10mV_ConfigI26V35_noche,73124.94788652998,1156.4506969044512,0.13541450813062694,0.07293915341436728,0.9854583597981066
IvsV_4wire_Graphene_101025_30pts_10E-8A_Vc5mV_ConfigI26V35_noche,72856.63900530551,1226.0445079882354,0.16861717755433603,0.07732752274913486,0.9835665045373755
IvsV_4wire_Graphene_101025_30pts_20E-8A_Vc10mV_ConfigI26V35_noche,75129.9289216779,688.0245610314796,0.44132461207017787,0.08677005732544425,0.9950763142304142
IvsV_4wire_Graphene_101025_30pts_2E-8A_Vc5mV_ConfigI26V35_noche,59213.26517311432,1614.5752762014345,0.47855891158759434,0.0194709627014972,0.957977128222307
IvsV_4wire_Graphene_101025_30pts_30E-8A_Vc10mV_ConfigI26V35_noche,75703.13294632811,760.0279100518554,0.6128519854392914,0.1306795655849343,0.9940883546277189
IvsV_4wire_Graphene_101025_30pts_3E-8A_Vc5mV_ConfigI26V35_noche,69031.91297118184,485.9981831845062,0.33091143759543956,0.009194337863047315,0.9970842295287443
IvsV_4wire_Graphene_101025_30pts_40E-8A_Vc10mV_ConfigI26V35_noche,77486.57645392863,459.2733418141356,0.8666081609153706,0.11583511688049399,0.9979315629896364
IvsV_4wire_Graphene_101025_30pts_4E-8A_Vc5mV_ConfigI26V35_noche,68220.62800063906,554.1177629912013,0.19646047216635393,0.013364748721359936,0.996122627411395
IvsV_4wire_Graphene_101025_30pts_50E-8A_Vc10mV_ConfigI26V35_noche,79124.68775022442,572.0851431066583,0.6955342674726008,0.1724477191734613,0.9969252350521747
IvsV_4wire_Graphene_101025_30pts_5E-8A_Vc5mV_ConfigI26V35_noche,66818.76141765765,524.0454407979202,0.07057894040066491,0.01652343910411096,0.996384071456692
IvsV_4wire_Graphene_101025_30pts_60E-8A_Vc10mV_ConfigI26V35_noche,79297.45716959357,681.0586407679045,1.326046289388954,0.23421255532746676,0.995666722553504
IvsV_4wire_Graphene_101025_30pts_6E-8A_Vc5mV_ConfigI26V35_noche,69830.70732769334,634.5790206730259,0.01828258151033618,0.02401030804074762,0.9951513627713672
IvsV_4wire_Graphene_101025_30pts_70E-8A_Vc10mV_ConfigI26V35_noche,82651.21393734028,526.3829458001572,0.45822705675883885,0.21119899890411864,0.9976126334804005
IvsV_4wire_Graphene_101025_30pts_7E-8A_Vc5mV_ConfigI26V35_noche,69584.80719427571,668.6970065503803,0.07503529307304369,0.02683236716648446,0.9945809637534611
IvsV_4wire_Graphene_101025_30pts_8E-8A_Vc5mV_ConfigI26V35_noche,71859.92473182012,1137.1560086601698,0.13266155048549413,0.054853089281696785,0.9854404159881917
IvsV_4wire_Graphene_101025_30pts_9E-8A_Vc5mV_ConfigI26V35_noche,70667.66195602917,1059.9731855112905,0.19518282003953497,0.05468470594867066,0.9868999351932699
